embedding_size,input_dropout,lstm_units,middle_dropout,l1,l2
8,0.0,8,0.0,0.0,0.0
8,0.0,8,0.1,0.0,0.0
8,0.0,8,0.3,0.0,0.0
8,0.0,8,0.5,0.0,0.0
8,0.0,16,0.0,0.0,0.0
8,0.0,16,0.1,0.0,0.0
8,0.0,16,0.3,0.0,0.0
8,0.0,16,0.5,0.0,0.0
8,0.0,32,0.0,0.0,0.0
8,0.0,32,0.1,0.0,0.0
8,0.0,32,0.3,0.0,0.0
8,0.0,32,0.5,0.0,0.0
8,0.0,8,0.0,0.0,0.001
8,0.0,8,0.1,0.0,0.001
8,0.0,8,0.3,0.0,0.001
8,0.0,8,0.5,0.0,0.001
8,0.0,16,0.0,0.0,0.001
8,0.0,16,0.1,0.0,0.001
8,0.0,16,0.3,0.0,0.001
8,0.0,16,0.5,0.0,0.001
8,0.0,32,0.0,0.0,0.001
8,0.0,32,0.1,0.0,0.001
8,0.0,32,0.3,0.0,0.001
8,0.0,32,0.5,0.0,0.001
8,0.0,8,0.0,0.0,0.01
8,0.0,8,0.1,0.0,0.01
8,0.0,8,0.3,0.0,0.01
8,0.0,8,0.5,0.0,0.01
8,0.0,16,0.0,0.0,0.01
8,0.0,16,0.1,0.0,0.01
8,0.0,16,0.3,0.0,0.01
8,0.0,16,0.5,0.0,0.01
8,0.0,32,0.0,0.0,0.01
8,0.0,32,0.1,0.0,0.01
8,0.0,32,0.3,0.0,0.01
8,0.0,32,0.5,0.0,0.01
8,0.0,8,0.0,0.001,0.0
8,0.0,8,0.1,0.001,0.0
8,0.0,8,0.3,0.001,0.0
8,0.0,8,0.5,0.001,0.0
8,0.0,16,0.0,0.001,0.0
8,0.0,16,0.1,0.001,0.0
8,0.0,16,0.3,0.001,0.0
8,0.0,16,0.5,0.001,0.0
8,0.0,32,0.0,0.001,0.0
8,0.0,32,0.1,0.001,0.0
8,0.0,32,0.3,0.001,0.0
8,0.0,32,0.5,0.001,0.0
8,0.0,8,0.0,0.001,0.001
8,0.0,8,0.1,0.001,0.001
8,0.0,8,0.3,0.001,0.001
8,0.0,8,0.5,0.001,0.001
8,0.0,16,0.0,0.001,0.001
8,0.0,16,0.1,0.001,0.001
8,0.0,16,0.3,0.001,0.001
8,0.0,16,0.5,0.001,0.001
8,0.0,32,0.0,0.001,0.001
8,0.0,32,0.1,0.001,0.001
8,0.0,32,0.3,0.001,0.001
8,0.0,32,0.5,0.001,0.001
8,0.0,8,0.0,0.001,0.01
8,0.0,8,0.1,0.001,0.01
8,0.0,8,0.3,0.001,0.01
8,0.0,8,0.5,0.001,0.01
8,0.0,16,0.0,0.001,0.01
8,0.0,16,0.1,0.001,0.01
8,0.0,16,0.3,0.001,0.01
8,0.0,16,0.5,0.001,0.01
8,0.0,32,0.0,0.001,0.01
8,0.0,32,0.1,0.001,0.01
8,0.0,32,0.3,0.001,0.01
8,0.0,32,0.5,0.001,0.01
8,0.0,8,0.0,0.01,0.0
8,0.0,8,0.1,0.01,0.0
8,0.0,8,0.3,0.01,0.0
8,0.0,8,0.5,0.01,0.0
8,0.0,16,0.0,0.01,0.0
8,0.0,16,0.1,0.01,0.0
8,0.0,16,0.3,0.01,0.0
8,0.0,16,0.5,0.01,0.0
8,0.0,32,0.0,0.01,0.0
8,0.0,32,0.1,0.01,0.0
8,0.0,32,0.3,0.01,0.0
8,0.0,32,0.5,0.01,0.0
8,0.0,8,0.0,0.01,0.001
8,0.0,8,0.1,0.01,0.001
8,0.0,8,0.3,0.01,0.001
8,0.0,8,0.5,0.01,0.001
8,0.0,16,0.0,0.01,0.001
8,0.0,16,0.1,0.01,0.001
8,0.0,16,0.3,0.01,0.001
8,0.0,16,0.5,0.01,0.001
8,0.0,32,0.0,0.01,0.001
8,0.0,32,0.1,0.01,0.001
8,0.0,32,0.3,0.01,0.001
8,0.0,32,0.5,0.01,0.001
8,0.0,8,0.0,0.01,0.01
8,0.0,8,0.1,0.01,0.01
8,0.0,8,0.3,0.01,0.01
8,0.0,8,0.5,0.01,0.01
8,0.0,16,0.0,0.01,0.01
8,0.0,16,0.1,0.01,0.01
8,0.0,16,0.3,0.01,0.01
8,0.0,16,0.5,0.01,0.01
8,0.0,32,0.0,0.01,0.01
8,0.0,32,0.1,0.01,0.01
8,0.0,32,0.3,0.01,0.01
8,0.0,32,0.5,0.01,0.01
8,0.7,8,0.0,0.0,0.0
8,0.7,8,0.1,0.0,0.0
8,0.7,8,0.3,0.0,0.0
8,0.7,8,0.5,0.0,0.0
8,0.7,16,0.0,0.0,0.0
8,0.7,16,0.1,0.0,0.0
8,0.7,16,0.3,0.0,0.0
8,0.7,16,0.5,0.0,0.0
8,0.7,32,0.0,0.0,0.0
8,0.7,32,0.1,0.0,0.0
8,0.7,32,0.3,0.0,0.0
8,0.7,32,0.5,0.0,0.0
8,0.7,8,0.0,0.0,0.001
8,0.7,8,0.1,0.0,0.001
8,0.7,8,0.3,0.0,0.001
8,0.7,8,0.5,0.0,0.001
8,0.7,16,0.0,0.0,0.001
8,0.7,16,0.1,0.0,0.001
8,0.7,16,0.3,0.0,0.001
8,0.7,16,0.5,0.0,0.001
8,0.7,32,0.0,0.0,0.001
8,0.7,32,0.1,0.0,0.001
8,0.7,32,0.3,0.0,0.001
8,0.7,32,0.5,0.0,0.001
8,0.7,8,0.0,0.0,0.01
8,0.7,8,0.1,0.0,0.01
8,0.7,8,0.3,0.0,0.01
8,0.7,8,0.5,0.0,0.01
8,0.7,16,0.0,0.0,0.01
8,0.7,16,0.1,0.0,0.01
8,0.7,16,0.3,0.0,0.01
8,0.7,16,0.5,0.0,0.01
8,0.7,32,0.0,0.0,0.01
8,0.7,32,0.1,0.0,0.01
8,0.7,32,0.3,0.0,0.01
8,0.7,32,0.5,0.0,0.01
8,0.7,8,0.0,0.001,0.0
8,0.7,8,0.1,0.001,0.0
8,0.7,8,0.3,0.001,0.0
8,0.7,8,0.5,0.001,0.0
8,0.7,16,0.0,0.001,0.0
8,0.7,16,0.1,0.001,0.0
8,0.7,16,0.3,0.001,0.0
8,0.7,16,0.5,0.001,0.0
8,0.7,32,0.0,0.001,0.0
8,0.7,32,0.1,0.001,0.0
8,0.7,32,0.3,0.001,0.0
8,0.7,32,0.5,0.001,0.0
8,0.7,8,0.0,0.001,0.001
8,0.7,8,0.1,0.001,0.001
8,0.7,8,0.3,0.001,0.001
8,0.7,8,0.5,0.001,0.001
8,0.7,16,0.0,0.001,0.001
8,0.7,16,0.1,0.001,0.001
8,0.7,16,0.3,0.001,0.001
8,0.7,16,0.5,0.001,0.001
8,0.7,32,0.0,0.001,0.001
8,0.7,32,0.1,0.001,0.001
8,0.7,32,0.3,0.001,0.001
8,0.7,32,0.5,0.001,0.001
8,0.7,8,0.0,0.001,0.01
8,0.7,8,0.1,0.001,0.01
8,0.7,8,0.3,0.001,0.01
8,0.7,8,0.5,0.001,0.01
8,0.7,16,0.0,0.001,0.01
8,0.7,16,0.1,0.001,0.01
8,0.7,16,0.3,0.001,0.01
8,0.7,16,0.5,0.001,0.01
8,0.7,32,0.0,0.001,0.01
8,0.7,32,0.1,0.001,0.01
8,0.7,32,0.3,0.001,0.01
8,0.7,32,0.5,0.001,0.01
8,0.7,8,0.0,0.01,0.0
8,0.7,8,0.1,0.01,0.0
8,0.7,8,0.3,0.01,0.0
8,0.7,8,0.5,0.01,0.0
8,0.7,16,0.0,0.01,0.0
8,0.7,16,0.1,0.01,0.0
8,0.7,16,0.3,0.01,0.0
